job_id,tier,gpus,e_kw,duration_h,t_min,t_max,delta,alpha_B,alpha_C,alpha_D,n_start_slots,qubo_vars
FT-01,finetune,4,2.64,3,14,18,21,1,1,1,5,15
FT-02,finetune,4,2.78,3,9,13,16,1,1,1,5,15
FT-03,finetune,4,2.61,3,9,13,16,1,1,1,5,15
FT-04,finetune,4,2.88,3,3,7,10,1,1,1,5,15
FT-05,finetune,4,2.62,3,10,14,17,1,1,1,5,15
FT-06,finetune,4,2.88,3,3,7,10,1,1,1,5,15
FT-07,finetune,4,2.79,3,15,19,22,1,1,1,5,15
FT-08,finetune,4,2.75,3,7,11,14,1,1,1,5,15
FT-09,finetune,4,2.8,3,17,21,24,1,1,1,5,15
FT-10,finetune,4,2.64,3,5,9,12,1,1,1,5,15
FT-11,finetune,4,2.84,3,5,9,12,1,1,1,5,15
FT-12,finetune,4,2.75,3,12,16,19,1,1,1,5,15
FT-13,finetune,4,2.85,3,15,19,22,1,1,1,5,15
FT-14,finetune,4,2.89,3,10,14,17,1,1,1,5,15
FT-15,finetune,4,2.66,3,6,10,13,1,1,1,5,15
TR-01,training,8,5.25,7,8,17,24,1,1,0,10,20
TR-02,training,8,5.33,6,8,18,24,1,1,0,11,22
TR-03,training,8,5.48,6,8,18,24,1,1,0,11,22
TR-04,training,8,4.99,7,8,17,24,1,1,0,10,20
TR-05,training,8,5.1,6,1,11,17,1,1,0,11,22
TR-06,training,8,5.55,6,6,16,22,1,1,0,11,22
TR-07,training,8,5.01,6,8,18,24,1,1,0,11,22
TR-08,training,8,5.05,7,8,17,24,1,1,0,10,20
TR-09,training,8,5.06,7,8,17,24,1,1,0,10,20
TR-10,training,8,5.04,6,8,18,24,1,1,0,11,22
TR-11,training,8,5.24,6,6,16,22,1,1,0,11,22
TR-12,training,8,5.4,7,8,17,24,1,1,0,10,20
TR-13,training,8,4.91,6,6,16,22,1,1,0,11,22
TR-14,training,8,5.62,6,2,12,18,1,1,0,11,22
TR-15,training,8,5.4,6,8,18,24,1,1,0,11,22
TR-16,training,8,4.92,6,4,14,20,1,1,0,11,22
TR-17,training,8,5.32,7,1,10,17,1,1,0,10,20
TR-18,training,8,5.13,6,6,16,22,1,1,0,11,22
TR-19,training,8,5.02,6,8,18,24,1,1,0,11,22
TR-20,training,8,5.5,6,1,11,17,1,1,0,11,22
PP-01,prep,2,1.03,2,1,22,24,1,1,1,22,66
PP-02,prep,2,1.05,3,1,21,24,1,1,1,21,63
PP-03,prep,2,1.14,2,1,22,24,1,1,1,22,66
PP-04,prep,2,1.01,3,1,21,24,1,1,1,21,63
PP-05,prep,2,1.05,3,1,21,24,1,1,1,21,63
PP-06,prep,2,1.0,2,1,22,24,1,1,1,22,66
PP-07,prep,2,1.17,2,1,22,24,1,1,1,22,66
PP-08,prep,2,1.2,2,1,22,24,1,1,1,22,66
PP-09,prep,2,1.08,2,1,22,24,1,1,1,22,66
PP-10,prep,2,1.23,2,1,22,24,1,1,1,22,66
PP-11,prep,2,1.08,3,1,21,24,1,1,1,21,63
PP-12,prep,2,1.08,2,1,22,24,1,1,1,22,66
PP-13,prep,2,1.01,3,1,21,24,1,1,1,21,63
PP-14,prep,2,1.1,2,1,22,24,1,1,1,22,66
PP-15,prep,2,1.2,2,1,22,24,1,1,1,22,66
