job_id,tier,gpus,e_kw,duration_h,t_min,t_max,delta,alpha_B,alpha_C,alpha_D,n_start_slots,qubo_vars
FT-01,finetune,4,3.54,4,9,10,14,1,1,1,2,6
FT-02,finetune,4,3.59,4,10,11,15,1,1,1,2,6
FT-03,finetune,4,3.53,4,10,11,15,1,1,1,2,6
FT-04,finetune,4,3.54,4,10,11,15,1,1,1,2,6
FT-05,finetune,4,3.58,4,12,13,17,1,1,1,2,6
FT-06,finetune,4,3.52,4,10,11,15,1,1,1,2,6
FT-07,finetune,4,3.55,4,10,11,15,1,1,1,2,6
FT-08,finetune,4,3.5,4,9,10,14,1,1,1,2,6
FT-09,finetune,4,3.51,4,12,13,17,1,1,1,2,6
FT-10,finetune,4,3.5,4,9,10,14,1,1,1,2,6
FT-11,finetune,4,3.58,4,8,9,13,1,1,1,2,6
FT-12,finetune,4,3.5,4,12,13,17,1,1,1,2,6
FT-13,finetune,4,3.55,4,11,12,16,1,1,1,2,6
FT-14,finetune,4,3.54,4,10,11,15,1,1,1,2,6
FT-15,finetune,4,3.51,4,11,12,16,1,1,1,2,6
TR-01,training,8,7.13,8,12,12,20,1,1,0,1,2
TR-02,training,8,7.28,8,11,11,19,1,1,0,1,2
TR-03,training,8,7.11,8,10,10,18,1,1,0,1,2
TR-04,training,8,7.12,8,9,9,17,1,1,0,1,2
TR-05,training,8,7.25,8,9,9,17,1,1,0,1,2
TR-06,training,8,7.26,8,11,11,19,1,1,0,1,2
TR-07,training,8,7.12,8,12,12,20,1,1,0,1,2
TR-08,training,8,7.13,8,9,9,17,1,1,0,1,2
TR-09,training,8,7.23,8,10,10,18,1,1,0,1,2
TR-10,training,8,7.23,8,9,9,17,1,1,0,1,2
TR-11,training,8,7.24,8,12,12,20,1,1,0,1,2
TR-12,training,8,7.18,8,11,11,19,1,1,0,1,2
TR-13,training,8,7.24,8,11,11,19,1,1,0,1,2
TR-14,training,8,7.11,8,8,8,16,1,1,0,1,2
TR-15,training,8,7.19,8,12,12,20,1,1,0,1,2
TR-16,training,8,7.21,8,9,9,17,1,1,0,1,2
TR-17,training,8,7.23,8,11,11,19,1,1,0,1,2
TR-18,training,8,7.08,8,10,10,18,1,1,0,1,2
TR-19,training,8,7.13,8,8,8,16,1,1,0,1,2
TR-20,training,8,7.09,8,10,10,18,1,1,0,1,2
PP-01,prep,2,1.76,4,11,11,15,1,1,1,1,3
PP-02,prep,2,1.73,4,11,11,15,1,1,1,1,3
PP-03,prep,2,1.74,4,10,10,14,1,1,1,1,3
PP-04,prep,2,1.78,4,11,11,15,1,1,1,1,3
PP-05,prep,2,1.79,4,10,10,14,1,1,1,1,3
PP-06,prep,2,1.78,4,10,10,14,1,1,1,1,3
PP-07,prep,2,1.77,4,10,10,14,1,1,1,1,3
PP-08,prep,2,1.8,4,12,12,16,1,1,1,1,3
PP-09,prep,2,1.75,4,11,11,15,1,1,1,1,3
PP-10,prep,2,1.75,4,11,11,15,1,1,1,1,3
PP-11,prep,2,1.77,4,12,12,16,1,1,1,1,3
PP-12,prep,2,1.78,4,9,9,13,1,1,1,1,3
PP-13,prep,2,1.76,4,8,8,12,1,1,1,1,3
PP-14,prep,2,1.72,4,11,11,15,1,1,1,1,3
PP-15,prep,2,1.72,4,10,10,14,1,1,1,1,3
