job_id,tier,gpus,e_kw,duration_h,t_min,t_max,delta,alpha_B,alpha_C,alpha_D,n_start_slots,qubo_vars
FT-01,finetune,4,3.3,4,10,12,16,1,1,1,3,9
FT-02,finetune,4,3.22,4,6,8,12,1,1,1,3,9
FT-03,finetune,4,3.38,4,5,7,11,1,1,1,3,9
FT-04,finetune,4,3.48,4,8,10,14,1,1,1,3,9
FT-05,finetune,4,3.44,4,7,9,13,1,1,1,3,9
FT-06,finetune,4,3.21,4,11,13,17,1,1,1,3,9
FT-07,finetune,4,3.36,4,6,8,12,1,1,1,3,9
FT-08,finetune,4,3.21,4,9,11,15,1,1,1,3,9
FT-09,finetune,4,3.33,4,12,14,18,1,1,1,3,9
FT-10,finetune,4,3.26,4,7,9,13,1,1,1,3,9
FT-11,finetune,4,3.42,4,7,9,13,1,1,1,3,9
FT-12,finetune,4,3.23,4,8,10,14,1,1,1,3,9
FT-13,finetune,4,3.3,4,9,11,15,1,1,1,3,9
FT-14,finetune,4,3.31,4,12,14,18,1,1,1,3,9
FT-15,finetune,4,3.25,4,8,10,14,1,1,1,3,9
TR-01,training,8,6.68,7,8,9,16,1,1,0,2,4
TR-02,training,8,6.62,8,12,12,20,1,1,0,1,2
TR-03,training,8,6.69,8,10,10,18,1,1,0,1,2
TR-04,training,8,6.72,8,12,12,20,1,1,0,1,2
TR-05,training,8,6.62,8,10,10,18,1,1,0,1,2
TR-06,training,8,6.81,7,5,6,13,1,1,0,2,4
TR-07,training,8,6.83,8,11,11,19,1,1,0,1,2
TR-08,training,8,6.4,7,5,6,13,1,1,0,2,4
TR-09,training,8,6.71,7,9,10,17,1,1,0,2,4
TR-10,training,8,6.36,8,8,8,16,1,1,0,1,2
TR-11,training,8,6.82,8,6,6,14,1,1,0,1,2
TR-12,training,8,7.0,8,5,5,13,1,1,0,1,2
TR-13,training,8,6.67,8,6,6,14,1,1,0,1,2
TR-14,training,8,6.8,7,12,13,20,1,1,0,2,4
TR-15,training,8,6.98,8,7,7,15,1,1,0,1,2
TR-16,training,8,6.67,8,12,12,20,1,1,0,1,2
TR-17,training,8,6.98,8,6,6,14,1,1,0,1,2
TR-18,training,8,6.75,7,11,12,19,1,1,0,2,4
TR-19,training,8,6.66,8,12,12,20,1,1,0,1,2
TR-20,training,8,6.49,7,5,6,13,1,1,0,2,4
PP-01,prep,2,1.55,3,6,11,14,1,1,1,6,18
PP-02,prep,2,1.63,4,10,14,18,1,1,1,5,15
PP-03,prep,2,1.54,4,5,9,13,1,1,1,5,15
PP-04,prep,2,1.58,4,7,11,15,1,1,1,5,15
PP-05,prep,2,1.7,3,5,10,13,1,1,1,6,18
PP-06,prep,2,1.63,3,9,14,17,1,1,1,6,18
PP-07,prep,2,1.65,4,12,16,20,1,1,1,5,15
PP-08,prep,2,1.69,4,8,12,16,1,1,1,5,15
PP-09,prep,2,1.63,3,11,16,19,1,1,1,6,18
PP-10,prep,2,1.55,3,10,15,18,1,1,1,6,18
PP-11,prep,2,1.65,4,9,13,17,1,1,1,5,15
PP-12,prep,2,1.51,4,11,15,19,1,1,1,5,15
PP-13,prep,2,1.62,4,10,14,18,1,1,1,5,15
PP-14,prep,2,1.68,3,12,17,20,1,1,1,6,18
PP-15,prep,2,1.55,3,6,11,14,1,1,1,6,18
