job_id,category,received_hour,duration,power_kw,power,earliest_start,latest_start
inference_01,inference,0,24,1.2599,0.00125985,0,0
inference_02,inference,0,24,1.0521,0.0010521,0,0
inference_03,inference,0,24,1.3123,0.00131233,0,0
inference_04,inference,0,24,1.2124,0.00121237,0,0
inference_05,inference,0,24,0.8384,0.00083839,0,0
inference_06,inference,0,24,1.3849,0.00138489,0,0
inference_07,inference,0,24,1.2519,0.00125191,0,0
inference_08,inference,0,24,1.2674,0.00126736,0,0
fine_tuning_01,fine_tuning,2,4,3.0504,0.00305039,2,6
fine_tuning_02,fine_tuning,6,4,3.5268,0.00352676,6,10
fine_tuning_03,fine_tuning,10,4,3.4228,0.00342276,10,14
fine_tuning_04,fine_tuning,7,4,2.8272,0.00282724,7,11
fine_tuning_05,fine_tuning,9,3,2.6638,0.00266382,9,13
fine_tuning_06,fine_tuning,14,4,3.2317,0.00323166,14,18
fine_tuning_07,fine_tuning,13,3,2.9545,0.00295453,13,17
fine_tuning_08,fine_tuning,17,3,3.4931,0.00349312,17,21
fine_tuning_09,fine_tuning,13,4,2.7946,0.00279464,13,17
fine_tuning_10,fine_tuning,8,3,2.6438,0.0026438,8,12
fine_tuning_11,fine_tuning,2,4,3.283,0.00328305,2,6
fine_tuning_12,fine_tuning,12,4,3.5675,0.00356751,12,16
fine_tuning_13,fine_tuning,5,3,2.9705,0.00297046,5,9
fine_tuning_14,fine_tuning,8,3,2.7895,0.00278947,8,12
fine_tuning_15,fine_tuning,2,3,3.0757,0.0030757,2,6
training_01,training,0,6,6.5076,0.00650755,0,16
training_02,training,0,8,6.8984,0.00689843,0,16
training_03,training,0,7,6.5806,0.00658064,0,16
training_04,training,1,6,6.8974,0.00689742,1,17
training_05,training,0,8,5.8299,0.00582995,0,16
training_06,training,0,8,6.538,0.00653799,0,16
training_07,training,2,6,5.2354,0.00523541,2,18
training_08,training,2,6,4.9177,0.00491767,2,18
training_09,training,0,8,6.4956,0.00649564,0,16
training_10,training,1,7,6.7737,0.00677375,1,17
training_11,training,0,7,6.265,0.00626498,0,16
training_12,training,0,6,5.1749,0.00517487,0,16
training_13,training,1,7,6.0306,0.00603063,1,17
training_14,training,0,8,6.736,0.006736,0,16
training_15,training,1,7,6.4233,0.00642332,1,17
training_16,training,1,7,6.2421,0.0062421,1,17
training_17,training,1,6,4.974,0.00497396,1,17
training_18,training,0,7,5.415,0.005415,0,16
training_19,training,0,7,6.9482,0.00694817,0,16
training_20,training,2,6,5.0399,0.00503993,2,18
preprocessing_01,preprocessing,9,2,1.2349,0.00123488,9,22
preprocessing_02,preprocessing,11,3,1.4456,0.00144563,11,21
preprocessing_03,preprocessing,8,4,1.5315,0.00153145,8,20
preprocessing_04,preprocessing,7,3,1.6512,0.00165122,7,21
preprocessing_05,preprocessing,2,2,1.0182,0.00101817,2,22
preprocessing_06,preprocessing,16,2,1.5779,0.00157789,16,22
preprocessing_07,preprocessing,19,3,1.129,0.00112902,19,21
preprocessing_08,preprocessing,10,3,1.1218,0.00112185,10,21
preprocessing_09,preprocessing,3,4,1.3569,0.00135693,3,20
preprocessing_10,preprocessing,15,3,1.2412,0.00124121,15,21
preprocessing_11,preprocessing,21,3,1.2895,0.00128945,21,21
preprocessing_12,preprocessing,7,2,1.0944,0.0010944,7,22
preprocessing_13,preprocessing,10,4,1.7269,0.00172686,10,20
preprocessing_14,preprocessing,16,4,1.2127,0.0012127,16,20
preprocessing_15,preprocessing,5,4,1.623,0.001623,5,20
