job_id,category,workload_family,duration,power,earliest_start,latest_start,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
job_000,gpu_unrestricted,combinatorial_difficulty,3,0.00024576438006967163,5,8,,1,8.451307792647249,56.10390160640341
job_001,gpu_restricted,combinatorial_difficulty,4,0.00022511820273361002,4,7,T4,3,27.854347926096775,144.82602755006724
job_002,gpu_unrestricted,combinatorial_difficulty,3,0.0001464203960084971,3,9,,2,15.441413494181088,77.87120228347828
job_003,gpu_unrestricted,combinatorial_difficulty,1,0.00036670043218295134,3,9,,1,6.589199190479,56.13025257872084
job_004,gpu_restricted,combinatorial_difficulty,2,0.00024176162981530056,5,14,V100M32,1,7.7072873554893615,51.8900356281457
job_005,gpu_restricted,combinatorial_difficulty,1,0.00021270706876504004,1,9,T4,3,27.59395561981918,119.82491120175392
job_006,gpu_unrestricted,combinatorial_difficulty,3,0.0003731536657866333,2,9,,1,9.273869243406226,50.84624053325376
job_007,gpu_restricted,combinatorial_difficulty,2,7.264073011319845e-05,4,13,T4,1,7.404360801523689,52.16176940366104
job_008,gpu_unrestricted,combinatorial_difficulty,3,0.0003317773108552997,4,10,,1,7.398061867521659,53.37837964202291
job_009,gpu_unrestricted,combinatorial_difficulty,3,0.00025183675306183573,0,9,,1,7.888692428438635,40.671329902720004
job_010,gpu_unrestricted,combinatorial_difficulty,4,0.00023651591198250093,2,7,,1,6.953001314341769,56.6343309198235
job_011,gpu_unrestricted,combinatorial_difficulty,3,0.0005445631514313483,0,9,,2,16.17940451156547,109.26571494282095
job_012,gpu_unrestricted,combinatorial_difficulty,2,0.0006521209169736891,3,10,,2,14.141521214804056,99.07530722601959
job_013,gpu_restricted,combinatorial_difficulty,4,7.327023144609477e-05,4,12,T4,1,8.69678969584992,55.963926382732254
job_014,gpu_unrestricted,combinatorial_difficulty,1,0.0007291301549864687,5,11,,2,16.06559557192725,92.84458334023884
job_015,gpu_restricted,combinatorial_difficulty,3,0.000980199022292403,3,13,G2,3,21.328083513437974,170.6177106362066
job_016,gpu_unrestricted,combinatorial_difficulty,1,6.309176806809888e-05,0,10,,1,8.24385620061809,42.46832581100466
job_017,gpu_restricted,combinatorial_difficulty,1,7.640081810066924e-05,6,11,T4,1,6.816222063611867,39.965037568621526
job_018,gpu_restricted,combinatorial_difficulty,2,0.00024234476538920798,5,13,V100M32,1,6.582469410990807,50.395226178944625
job_019,gpu_restricted,combinatorial_difficulty,4,7.20510910973312e-05,7,12,T4,1,9.296827496963413,51.996785941131265
