job_id,category,workload_family,assigned_cluster,cluster_role,cluster_gpu_type,start_hour,duration,power,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
job_005,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,0,3,0.0009889581999400886,,3,27.000484812638078,129.04187324874925
job_019,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,0,3,0.00034523106514530857,,1,7.851302649414622,44.9636460741613
job_041,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,0,2,7.529243184597388e-05,,1,8.137055361840272,47.4672321422547
job_046,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,0,2,0.00012634114958205687,T4,2,13.7274482455964,82.69040541196011
job_051,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,0,1,0.00014992449754816858,,2,14.3769444933202,107.98034886562968
job_011,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,1,3,7.294761569494387e-05,,1,8.357835171744284,55.75231323925844
job_030,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,1,1,0.00025222576950196434,V100M32,1,9.16008625575973,50.98010428436099
job_059,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,1,2,6.583246711578415e-05,,1,7.123559694515572,40.9548563921661
job_025,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,2,3,0.00015067524287838623,,2,13.201373109705354,90.47875435656623
job_038,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,2,1,6.463819960539715e-05,T4,1,9.104339744831172,54.56752766269716
job_048,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,2,2,6.986800064912953e-05,,1,7.328419287362949,39.163202374470885
job_010,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,3,2,6.96250069381558e-05,,1,8.226014542338048,43.69590297850607
job_039,gpu_restricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,3,2,0.00022869077354502633,P100,1,6.956809235732437,42.63706574629309
job_040,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,3,1,0.0007671176104340913,,3,22.954898459176356,171.29043167732794
job_047,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,3,3,7.171185840468845e-05,,1,6.48240544274509,41.60333209100725
job_009,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,4,2,0.0006631325121098517,G2,2,14.661803347907345,114.40190478743023
