job_id,category,workload_family,gpus,gpu_count_required,gpu_type_required,cpu_required,memory_required_gb,duration,duration_h,power_kw,e_kw,power,earliest_start,latest_start,slot_minutes,runtime_hours_sampled,source_trace_job
synthetic_00001,preprocessing,preprocessing,1,1,,3.152,5.46875,1,0.25,0.15,0.15,0.00015,71,82,15,0.079722,openb-pod-1081
synthetic_00002,preprocessing,preprocessing,1,1,,11.908,46.0,7,1.75,0.25,0.25,0.00025,8,15,15,1.585556,openb-pod-0237
synthetic_00003,preprocessing,preprocessing,1,1,,4.0,29.8017578125,7,1.75,0.15,0.15,0.00015,59,75,15,1.733611,openb-pod-4428
synthetic_00004,preprocessing,preprocessing,1,1,,18.708,63.0,1,0.25,0.35,0.35,0.00035,41,52,15,0.158333,openb-pod-3038
synthetic_00005,fine_tuning,fine_tuning,1,1,T4,3.152,5.46875,1,0.25,0.07,0.07,7e-05,10,19,15,0.008056,openb-pod-7084
synthetic_00006,fine_tuning,fine_tuning,1,1,G2,18.708,63.0,2,0.5,0.35,0.35,0.00035,41,53,15,0.4675,openb-pod-3709
synthetic_00007,preprocessing,preprocessing,1,1,,8.0,29.8017578125,4,1.0,0.25,0.25,0.00025,9,19,15,0.804167,openb-pod-8014
synthetic_00008,preprocessing,preprocessing,1,1,,4.0,14.900390625,6,1.5,0.25,0.25,0.00025,25,35,15,1.274722,openb-pod-3921
synthetic_00009,preprocessing,preprocessing,1,1,,18.708,63.0,1,0.25,0.25,0.25,0.00025,77,92,15,0.205833,openb-pod-4806
synthetic_00010,preprocessing,preprocessing,1,1,,18.708,63.0,4,1.0,0.07,0.07,7e-05,17,33,15,0.873056,openb-pod-3778
