hour,baseline_load,pue,flexible_load,it_load,total_load,facility_load,renewable_available,renewable_consumption,renewable_curtailment,grid_consumption,grid_price
0,0.01,1.2,0.00021999999999999998,0.010220000000000002,0.012264,0.012264,0.0,0.0,0.0,0.012264,65.0
1,0.01,1.2,0.00197,0.011970000000000003,0.014364000000000005,0.014364000000000005,0.0,0.0,0.0,0.014364,65.0
2,0.01,1.2,0.0014199999999999998,0.011420000000000005,0.013704000000000004,0.013704000000000004,0.0,0.0,0.0,0.013704000000000001,65.0
3,0.01,1.2,0.002710000000000001,0.012710000000000008,0.015252000000000005,0.015252000000000005,0.0,0.0,0.0,0.015252,65.0
4,0.01,1.2,0.00195,0.011950000000000004,0.014340000000000004,0.014340000000000004,0.0,0.0,0.0,0.01434,65.0
5,0.01,1.2,0.0028300000000000005,0.012830000000000003,0.015396000000000003,0.015396000000000003,0.0,0.0,0.0,0.015396,65.0
6,0.01,1.2,0.0024500000000000004,0.012450000000000004,0.014940000000000004,0.014940000000000004,0.0,0.0,0.0,0.01494,65.0
7,0.01,1.2,0.0036800000000000005,0.013680000000000003,0.016416000000000007,0.016416000000000007,0.0,0.0,0.0,0.016416,65.0
8,0.01,1.2,0.0034700000000000004,0.013470000000000005,0.016164000000000008,0.016164000000000008,0.0,0.0,0.0,0.016163999999999998,65.0
9,0.01,1.2,0.0037099999999999998,0.013710000000000002,0.016452000000000005,0.016452000000000005,0.0,0.0,0.0,0.016452,65.0
10,0.01,1.2,0.0036200000000000013,0.013620000000000005,0.016344000000000008,0.016344000000000008,0.0,0.0,0.0,0.016343999999999997,65.0
11,0.01,1.2,0.003430000000000001,0.013430000000000003,0.016116000000000002,0.016116000000000002,0.0,0.0,0.0,0.016116,65.0
12,0.01,1.2,0.004530000000000001,0.014530000000000003,0.01743600000000001,0.01743600000000001,0.0,0.0,0.0,0.017436,65.0
13,0.01,1.2,0.0032500000000000007,0.013250000000000003,0.015900000000000004,0.015900000000000004,0.0,0.0,0.0,0.015899999999999997,65.0
14,0.01,1.2,0.0038500000000000006,0.013850000000000006,0.016620000000000006,0.016620000000000006,0.0,0.0,0.0,0.01662,65.0
15,0.01,1.2,0.0031700000000000005,0.013170000000000003,0.015804000000000002,0.015804000000000002,0.0,0.0,0.0,0.015804,65.0
16,0.01,1.2,0.00245,0.012450000000000001,0.01494,0.01494,0.0,0.0,0.0,0.01494,65.0
17,0.01,1.2,0.0024400000000000003,0.012440000000000001,0.014928000000000002,0.014928000000000002,0.0,0.0,0.0,0.014927999999999999,65.0
18,0.01,1.2,0.0032900000000000004,0.013290000000000001,0.015948000000000004,0.015948000000000004,0.0,0.0,0.0,0.015948,65.0
19,0.01,1.2,0.00102,0.01102,0.013224000000000001,0.013224000000000001,0.0,0.0,0.0,0.013224,65.0
20,0.01,1.2,0.00038999999999999994,0.010390000000000002,0.012468000000000002,0.012468000000000002,0.0,0.0,0.0,0.012468,65.0
21,0.01,1.2,0.00047,0.010470000000000002,0.012564,0.012564,0.0,0.0,0.0,0.012564,65.0
22,0.01,1.2,0.00182,0.011820000000000002,0.014184,0.014184,0.0,0.0,0.0,0.014184,65.0
23,0.01,1.2,0.00114,0.011140000000000002,0.013368000000000001,0.013368000000000001,0.0,0.0,0.0,0.013368,65.0
24,0.01,1.2,0.00092,0.010920000000000001,0.013104000000000001,0.013104000000000001,0.0,0.0,0.0,0.013104000000000001,85.0
25,0.01,1.2,0.00092,0.010920000000000001,0.013104000000000001,0.013104000000000001,0.005,0.005,0.0,0.008104,85.0
26,0.01,1.2,0.00092,0.010920000000000001,0.013104000000000001,0.013104000000000001,0.01,0.01,0.0,0.0031039999999999996,85.0
27,0.01,1.2,0.003320000000000001,0.013320000000000004,0.01598400000000001,0.01598400000000001,0.016,0.015983999999999998,1.6000000000002124e-05,0.0,85.0
28,0.01,1.2,0.002510000000000001,0.012510000000000005,0.015012000000000006,0.015012000000000006,0.021,0.015012,0.005988000000000002,0.0,85.0
29,0.01,1.2,0.0035000000000000005,0.013500000000000007,0.016200000000000003,0.016200000000000003,0.026,0.0162,0.0098,0.0,85.0
30,0.01,1.2,0.004510000000000001,0.014510000000000007,0.017412000000000007,0.017412000000000007,0.031,0.017411999999999997,0.013588000000000003,0.0,85.0
31,0.01,1.2,0.0031200000000000004,0.013120000000000005,0.015744000000000005,0.015744000000000005,0.035,0.015744,0.019256000000000002,0.0,85.0
32,0.01,1.2,0.0057599999999999995,0.015760000000000007,0.018912000000000012,0.018912000000000012,0.04,0.018911999999999998,0.021088000000000003,0.0,85.0
33,0.01,1.2,0.012430000000000005,0.022430000000000016,0.026916000000000048,0.026916000000000048,0.044,0.026916000000000002,0.017083999999999995,0.0,85.0
34,0.01,1.2,0.004430000000000001,0.014430000000000007,0.01731600000000001,0.01731600000000001,0.049,0.017315999999999998,0.031684000000000004,0.0,85.0
35,0.01,1.2,0.00352,0.013520000000000006,0.016224000000000006,0.016224000000000006,0.053,0.016224,0.036776,0.0,85.0
36,0.01,1.2,0.0035500000000000006,0.013550000000000005,0.016260000000000004,0.016260000000000004,0.057,0.01626,0.04074,0.0,85.0
37,0.01,1.2,0.0022299999999999998,0.012230000000000003,0.014676000000000003,0.014676000000000003,0.06,0.014676,0.045323999999999996,0.0,85.0
38,0.01,1.2,0.002800000000000001,0.012800000000000004,0.015360000000000004,0.015360000000000004,0.063,0.01536,0.04764,0.0,85.0
39,0.01,1.2,0.00174,0.011740000000000002,0.014088000000000002,0.014088000000000002,0.067,0.014088,0.052912,0.0,85.0
40,0.01,1.2,0.0024400000000000003,0.012440000000000001,0.014928000000000002,0.014928000000000002,0.069,0.014927999999999999,0.05407200000000001,0.0,85.0
41,0.01,1.2,0.00247,0.01247,0.014964000000000002,0.014964000000000002,0.072,0.014964,0.057035999999999996,0.0,85.0
42,0.01,1.2,0.0020700000000000002,0.012069999999999999,0.014484000000000002,0.014484000000000002,0.074,0.014484,0.059516,0.0,85.0
43,0.01,1.2,0.00236,0.012360000000000001,0.014832000000000003,0.014832000000000003,0.076,0.014832,0.061168,0.0,85.0
44,0.01,1.2,0.00067,0.01067,0.012804000000000001,0.012804000000000001,0.077,0.012804,0.064196,0.0,85.0
45,0.01,1.2,0.001,0.011000000000000001,0.0132,0.0132,0.078,0.0132,0.0648,0.0,85.0
46,0.01,1.2,0.00082,0.010820000000000001,0.012984,0.012984,0.079,0.012984,0.066016,0.0,85.0
47,0.01,1.2,0.00169,0.01169,0.014028000000000002,0.014028000000000002,0.08,0.014028,0.065972,0.0,85.0
48,0.01,1.2,0.00198,0.011980000000000003,0.014376000000000003,0.014376000000000003,0.08,0.014376,0.065624,0.0,85.0
49,0.01,1.2,0.00149,0.011490000000000002,0.013788000000000002,0.013788000000000002,0.08,0.013788,0.06621200000000001,0.0,85.0
50,0.01,1.2,0.0012,0.011200000000000003,0.013440000000000004,0.013440000000000004,0.079,0.01344,0.06556000000000001,0.0,85.0
51,0.01,1.2,0.0010299999999999999,0.011030000000000003,0.013236000000000003,0.013236000000000003,0.078,0.013236,0.064764,0.0,85.0
52,0.01,1.2,0.00141,0.011410000000000002,0.013692000000000003,0.013692000000000003,0.077,0.013692000000000001,0.063308,0.0,85.0
53,0.01,1.2,0.00149,0.011490000000000002,0.013788000000000002,0.013788000000000002,0.076,0.013788,0.062211999999999996,0.0,85.0
54,0.01,1.2,0.00159,0.011590000000000001,0.013908000000000002,0.013908000000000002,0.074,0.013908,0.06009199999999999,0.0,85.0
55,0.01,1.2,0.00131,0.011310000000000002,0.013572000000000002,0.013572000000000002,0.072,0.013572,0.058427999999999994,0.0,85.0
56,0.01,1.2,0.0021,0.012100000000000005,0.014520000000000003,0.014520000000000003,0.069,0.01452,0.05448000000000001,0.0,85.0
57,0.01,1.2,0.0025,0.012500000000000002,0.015000000000000005,0.015000000000000005,0.067,0.015,0.052000000000000005,0.0,85.0
58,0.01,1.2,0.00377,0.013770000000000003,0.016524000000000007,0.016524000000000007,0.063,0.016524,0.046476,0.0,85.0
59,0.01,1.2,0.00472,0.014720000000000002,0.01766400000000001,0.01766400000000001,0.06,0.017664,0.042336,0.0,85.0
60,0.01,1.2,0.007239999999999998,0.017240000000000002,0.020688000000000015,0.020688000000000015,0.057,0.020688000000000005,0.036312,0.0,85.0
61,0.01,1.2,0.0062299999999999986,0.01623000000000001,0.019476000000000014,0.019476000000000014,0.053,0.019476,0.033524,0.0,85.0
62,0.01,1.2,0.0054199999999999995,0.015420000000000008,0.01850400000000001,0.01850400000000001,0.049,0.018504,0.030496000000000002,0.0,85.0
63,0.01,1.2,0.00759,0.01759000000000001,0.021108000000000026,0.021108000000000026,0.044,0.021108000000000002,0.022891999999999996,0.0,85.0
64,0.01,1.2,0.0041600000000000005,0.014160000000000004,0.016992000000000004,0.016992000000000004,0.04,0.016992,0.023008,0.0,85.0
65,0.01,1.2,0.00891,0.018910000000000003,0.022692000000000018,0.022692000000000018,0.035,0.022692000000000004,0.012308,0.0,85.0
66,0.01,1.2,0.004860000000000001,0.014860000000000003,0.01783200000000001,0.01783200000000001,0.031,0.017832,0.013168,0.0,85.0
67,0.01,1.2,0.003620000000000001,0.013620000000000005,0.016344000000000004,0.016344000000000004,0.026,0.016343999999999997,0.009656000000000001,0.0,85.0
68,0.01,1.2,0.0029100000000000003,0.012910000000000003,0.015492000000000002,0.015492000000000002,0.021,0.015491999999999999,0.0055080000000000025,0.0,145.0
69,0.01,1.2,0.00265,0.012650000000000003,0.015180000000000004,0.015180000000000004,0.016,0.015179999999999999,0.0008200000000000013,0.0,145.0
70,0.01,1.2,0.00144,0.01144,0.013728000000000002,0.013728000000000002,0.01,0.01,0.0,0.003727999999999999,145.0
71,0.01,1.2,0.00144,0.01144,0.013728000000000002,0.013728000000000002,0.005,0.005,0.0,0.008728,145.0
72,0.01,1.2,7e-05,0.01007,0.012084000000000001,0.012084000000000001,0.0,0.0,0.0,0.012084000000000001,145.0
73,0.01,1.2,0.00021999999999999998,0.010220000000000002,0.012264,0.012264,0.0,0.0,0.0,0.012264,145.0
74,0.01,1.2,0.00057,0.010570000000000001,0.012684,0.012684,0.0,0.0,0.0,0.012684,145.0
75,0.01,1.2,0.00166,0.011660000000000002,0.013992000000000003,0.013992000000000003,0.0,0.0,0.0,0.013992,145.0
76,0.01,1.2,0.0019099999999999998,0.011910000000000006,0.014292000000000006,0.014292000000000006,0.0,0.0,0.0,0.014292,145.0
77,0.01,1.2,0.0015999999999999999,0.011600000000000004,0.013920000000000004,0.013920000000000004,0.0,0.0,0.0,0.01392,145.0
78,0.01,1.2,0.00159,0.011590000000000001,0.013908000000000002,0.013908000000000002,0.0,0.0,0.0,0.013908,145.0
79,0.01,1.2,0.00184,0.011840000000000002,0.014208000000000002,0.014208000000000002,0.0,0.0,0.0,0.014208,145.0
80,0.01,1.2,0.00159,0.011590000000000001,0.013908000000000002,0.013908000000000002,0.0,0.0,0.0,0.013908,145.0
81,0.01,1.2,0.00071,0.010710000000000003,0.012852000000000002,0.012852000000000002,0.0,0.0,0.0,0.012852,145.0
82,0.01,1.2,0.00116,0.011160000000000002,0.013392000000000003,0.013392000000000003,0.0,0.0,0.0,0.013392,145.0
83,0.01,1.2,0.00057,0.010570000000000001,0.012684,0.012684,0.0,0.0,0.0,0.012684,145.0
84,0.01,1.2,0.00057,0.010570000000000001,0.012684,0.012684,0.0,0.0,0.0,0.012684,145.0
85,0.01,1.2,0.00057,0.010570000000000001,0.012684,0.012684,0.0,0.0,0.0,0.012684,145.0
