hour,time_hours,hour_of_day,renewable_available,grid_price,baseline_load
0,0.0,0.0,0.0,65.0,0.01
1,0.25,0.25,0.0,65.0,0.01
2,0.5,0.5,0.0,65.0,0.01
3,0.75,0.75,0.0,65.0,0.01
4,1.0,1.0,0.0,65.0,0.01
5,1.25,1.25,0.0,65.0,0.01
6,1.5,1.5,0.0,65.0,0.01
7,1.75,1.75,0.0,65.0,0.01
8,2.0,2.0,0.0,65.0,0.01
9,2.25,2.25,0.0,65.0,0.01
10,2.5,2.5,0.0,65.0,0.01
11,2.75,2.75,0.0,65.0,0.01
12,3.0,3.0,0.0,65.0,0.01
13,3.25,3.25,0.0,65.0,0.01
14,3.5,3.5,0.0,65.0,0.01
15,3.75,3.75,0.0,65.0,0.01
16,4.0,4.0,0.0,65.0,0.01
17,4.25,4.25,0.0,65.0,0.01
18,4.5,4.5,0.0,65.0,0.01
19,4.75,4.75,0.0,65.0,0.01
20,5.0,5.0,0.0,65.0,0.01
21,5.25,5.25,0.0,65.0,0.01
22,5.5,5.5,0.0,65.0,0.01
23,5.75,5.75,0.0,65.0,0.01
24,6.0,6.0,0.0,85.0,0.01
25,6.25,6.25,0.005,85.0,0.01
26,6.5,6.5,0.01,85.0,0.01
27,6.75,6.75,0.016,85.0,0.01
28,7.0,7.0,0.021,85.0,0.01
29,7.25,7.25,0.026,85.0,0.01
30,7.5,7.5,0.031,85.0,0.01
31,7.75,7.75,0.035,85.0,0.01
32,8.0,8.0,0.04,85.0,0.01
33,8.25,8.25,0.044,85.0,0.01
34,8.5,8.5,0.049,85.0,0.01
35,8.75,8.75,0.053,85.0,0.01
36,9.0,9.0,0.057,85.0,0.01
37,9.25,9.25,0.06,85.0,0.01
38,9.5,9.5,0.063,85.0,0.01
39,9.75,9.75,0.067,85.0,0.01
40,10.0,10.0,0.069,85.0,0.01
41,10.25,10.25,0.072,85.0,0.01
42,10.5,10.5,0.074,85.0,0.01
43,10.75,10.75,0.076,85.0,0.01
44,11.0,11.0,0.077,85.0,0.01
45,11.25,11.25,0.078,85.0,0.01
46,11.5,11.5,0.079,85.0,0.01
47,11.75,11.75,0.08,85.0,0.01
48,12.0,12.0,0.08,85.0,0.01
49,12.25,12.25,0.08,85.0,0.01
50,12.5,12.5,0.079,85.0,0.01
51,12.75,12.75,0.078,85.0,0.01
52,13.0,13.0,0.077,85.0,0.01
53,13.25,13.25,0.076,85.0,0.01
54,13.5,13.5,0.074,85.0,0.01
55,13.75,13.75,0.072,85.0,0.01
56,14.0,14.0,0.069,85.0,0.01
57,14.25,14.25,0.067,85.0,0.01
58,14.5,14.5,0.063,85.0,0.01
59,14.75,14.75,0.06,85.0,0.01
60,15.0,15.0,0.057,85.0,0.01
61,15.25,15.25,0.053,85.0,0.01
62,15.5,15.5,0.049,85.0,0.01
63,15.75,15.75,0.044,85.0,0.01
64,16.0,16.0,0.04,85.0,0.01
65,16.25,16.25,0.035,85.0,0.01
66,16.5,16.5,0.031,85.0,0.01
67,16.75,16.75,0.026,85.0,0.01
68,17.0,17.0,0.021,145.0,0.01
69,17.25,17.25,0.016,145.0,0.01
70,17.5,17.5,0.01,145.0,0.01
71,17.75,17.75,0.005,145.0,0.01
72,18.0,18.0,0.0,145.0,0.01
73,18.25,18.25,0.0,145.0,0.01
74,18.5,18.5,0.0,145.0,0.01
75,18.75,18.75,0.0,145.0,0.01
76,19.0,19.0,0.0,145.0,0.01
77,19.25,19.25,0.0,145.0,0.01
78,19.5,19.5,0.0,145.0,0.01
79,19.75,19.75,0.0,145.0,0.01
80,20.0,20.0,0.0,145.0,0.01
81,20.25,20.25,0.0,145.0,0.01
82,20.5,20.5,0.0,145.0,0.01
83,20.75,20.75,0.0,145.0,0.01
84,21.0,21.0,0.0,145.0,0.01
85,21.25,21.25,0.0,145.0,0.01
86,21.5,21.5,0.0,145.0,0.01
87,21.75,21.75,0.0,145.0,0.01
88,22.0,22.0,0.0,85.0,0.01
89,22.25,22.25,0.0,85.0,0.01
90,22.5,22.5,0.0,85.0,0.01
91,22.75,22.75,0.0,85.0,0.01
92,23.0,23.0,0.0,85.0,0.01
93,23.25,23.25,0.0,85.0,0.01
94,23.5,23.5,0.0,85.0,0.01
95,23.75,23.75,0.0,85.0,0.01
