job_id,category,workload_family,assigned_cluster,cluster_role,cluster_gpu_type,start_hour,duration,power,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
synthetic_00042,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,16,0.00025,,1,12.0,15.0
synthetic_00045,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,15,0.00035,,1,11.908,46.0
synthetic_00052,training,training,cluster_v100m32,alibaba_gpu_type_pool,V100M32,0,2,0.00025,V100M16|V100M32,1,11.4,47.0
synthetic_00058,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,2,7e-05,T4,1,11.908,46.0
synthetic_00119,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,1,7e-05,T4,1,3.152,5.46875
synthetic_00151,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,2,7e-05,T4,1,3.152,5.46875
synthetic_00177,fine_tuning,fine_tuning,cluster_g2,alibaba_gpu_type_pool,G2,0,1,0.00035,G2,1,11.3,48.0
synthetic_00281,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,1,7e-05,T4,1,11.908,46.0
synthetic_00307,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,1,0.00025,,1,11.4,47.0
synthetic_00361,preprocessing,preprocessing,cluster_v100m16,alibaba_gpu_type_pool,V100M16,0,5,7e-05,P100|T4|V100M16|V100M32,1,11.9,76.0
synthetic_00399,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,1,7e-05,T4,1,8.0,29.8017578125
synthetic_00412,fine_tuning,fine_tuning,cluster_p100,alibaba_gpu_type_pool,P100,0,1,0.00025,P100,1,4.0,22.3515625
synthetic_00462,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,3,0.00025,,1,12.0,32.0
synthetic_00504,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,1,0.00035,,1,3.152,5.46875
synthetic_00513,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,4,0.00025,,1,11.908,46.0
synthetic_00555,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,0,2,7e-05,T4,1,11.3,48.0
synthetic_00575,fine_tuning,fine_tuning,cluster_p100,alibaba_gpu_type_pool,P100,0,1,0.00025,P100,1,11.908,46.0
synthetic_00582,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,0,11,7e-05,,1,12.0,24.0
